time,KV,cens
7.74,30,1
17.05,30,1
20.46,30,1
21.02,30,1
22.66,30,1
43.4,30,1
47.3,30,1
139.07,30,1
144.12,30,1
175.88,30,1
215.1,30,1
0.27,32,1
0.4,32,1
0.69,32,1
0.79,32,1
2.75,32,1
3.91,32,1
9.88,32,1
13.95,32,1
15.93,32,1
27.8,32,1
53.24,32,1
82.85,32,1
89.29,32,1
100.58,32,1
194.9,32,1
0.19,34,1
0.78,34,1
0.96,34,1
1.31,34,1
2.78,34,1
3.16,34,1
4.15,34,1
4.67,34,1
4.85,34,1
6.5,34,1
7.35,34,1
8.01,34,1
8.27,34,1
12.06,34,1
31.75,34,1
32.52,34,1
33.91,34,1
36.71,34,1
72.89,34,1
0.35,36,1
0.59,36,1
0.96,36,1
0.99,36,1
1.69,36,1
1.97,36,1
2.07,36,1
2.58,36,1
2.71,36,1
2.9,36,1
3.67,36,1
3.99,36,1
5.35,36,1
13.77,36,1
25.5,36,1
